Tampa Bay Buccaneers (TB - DST) ,@ATL,Sun 1:00PM,TB -11,,50.5,31,1,4,3,8.7,3500,403,1-5%
,,,,,,,,,,,,,
Indianapolis Colts (IND - DST) ,@HOU,Sun 1:00PM,IND -9,,45.5,27.5,2,2,0,8.3,3700,448,1-5%
,,,,,,,,,,,,,
Philadelphia Eagles (PHI - DST) ,@NYJ,Sun 1:00PM,PHI -6.5,,45.5,26,3,3,0,8,3600,448,5-10%
,,,,,,,,,,,,,
Miami Dolphins (MIA - DST) ,NYG,Sun 1:00PM,MIA -4,,40.5,22.5,4,7,3,7.9,3300,418,1-5%
,,,,,,,,,,,,,
Arizona Cardinals (ARI - DST) ,@CHI,Sun 1:00PM,ARI -7.5,,45.5,26.5,5,5,0,7.7,3400,444,10-20%
,,,,,,,,,,,,,
Los Angeles Rams (LAR - DST) ,JAC,Sun 4:05PM,LAR -12.5,,47.5,30,7,1,-6,7.4,4000,537,1-5%
,,,,,,,,,,,,,
Minnesota Vikings (MIN - DST) ,@DET,Sun 1:00PM,MIN -7,,46.5,27,6,8,2,7.4,3200,435,1-5%
,,,,,,,,,,,,,
New York Giants (NYG - DST) ,@MIA,Sun 1:00PM,MIA -4,,40.5,18.5,8,14,6,6.5,2700,418,1-5%
,,,,,,,,,,,,,
Baltimore Ravens (BAL - DST) ,@PIT,Sun 4:25PM,BAL -4.5,,44,24.5,9,6,-3,6.4,3400,528,1-5%
,,,,,,,,,,,,,
Pittsburgh Steelers (PIT - DST) ,BAL,Sun 4:25PM,BAL -4.5,,44,20,10,11,1,6.3,2900,461,1-5%
,,,,,,,,,,,,,
San Francisco 49ers (SF - DST) ,@SEA,Sun 4:25PM,SF -3.5,,45.5,24.5,11,10,-1,6.2,3000,485,1-5%
,,,,,,,,,,,,,
Chicago Bears (CHI - DST) ,ARI,Sun 1:00PM,ARI -7.5,,45.5,19,12,16,4,6.1,2600,427,1-5%
,,,,,,,,,,,,,
Cincinnati Bengals (CIN - DST) ,LAC,Sun 1:00PM,CIN -3,,50.5,27,13,12,-1,6,2800,466,1-5%
,,,,,,,,,,,,,
Los Angeles Chargers (LAC - DST) ,@CIN,Sun 1:00PM,CIN -3,,50.5,24,14,9,-5,5.6,3000,540,1-5%
,,,,,,,,,,,,,
Houston Texans (HOU - DST) ,IND,Sun 1:00PM,IND -9,,45.5,18.5,15,20,5,5.5,2400,439,1-5%
,,,,,,,,,,,,,
Las Vegas Raiders (LV - DST) ,WAS,Sun 4:05PM,LV -2.5,,49.5,26,16,13,-3,5.5,2800,505,1-5%
,,,,,,,,,,,,,
Seattle Seahawks (SEA - DST) ,SF,Sun 4:25PM,SF -3.5,,45.5,21,17,15,-2,5.5,2700,490,1-5%
,,,,,,,,,,,,,
Washington Football Team (WAS - DST) ,@LV,Sun 4:05PM,LV -2.5,,49.5,23.5,18,18,0,5.5,2500,452,1-5%
,,,,,,,,,,,,,
Jacksonville Jaguars (JAC - DST) ,@LAR,Sun 4:05PM,LAR -12.5,,47.5,17.5,19,22,3,5.4,2300,425,1-5%
,,,,,,,,,,,,,
Atlanta Falcons (ATL - DST) ,TB,Sun 1:00PM,TB -11,,50.5,20,20,19,-1,4.7,2400,507,1-5%
,,,,,,,,,,,,,
New York Jets (NYJ - DST) ,PHI,Sun 1:00PM,PHI -6.5,,45.5,19.5,21,17,-4,4.6,2500,542,1-5%
,,,,,,,,,,,,,
Detroit Lions (DET - DST) ,MIN,Sun 1:00PM,MIN -7,,46.5,20,22,21,-1,3.8,2300,606,1-5%
